pid,measure,feature,feature_value,guideline_value,difference,critical_score,segment,smoothed_score_mean,shap_mean
60.0,43.0,4.0,-0.9708024584734828,,-0.9708024584734828,3.0,4,0.24009567520482436,-0.0953684136
60.0,44.0,4.0,-0.9708048233362386,,-0.9708048233362386,1.0,4,0.24009567520482436,-0.0953684136
60.0,45.0,4.0,-0.9913933184870402,,-0.9913933184870402,3.0,4,0.24009567520482436,-0.0953684136
60.0,56.0,4.0,-0.9290897794604672,,-0.9290897794604672,6.0,5,0.16130660456268092,-0.09781374000000001
60.0,57.0,4.0,-0.930419872868762,,-0.930419872868762,4.0,5,0.16130660456268092,-0.09781374000000001
60.0,58.0,4.0,-0.9211246379158636,,-0.9211246379158636,3.0,5,0.16130660456268092,-0.09781374000000001
60.0,59.0,4.0,-0.9422215785591328,,-0.9422215785591328,1.0,5,0.16130660456268092,-0.09781374000000001
60.0,53.0,5.0,0.3368974022266411,-0.6666666666666666,1.0035640688933078,3.0,6,0.1373512863335084,-0.10855902199999998
60.0,54.0,5.0,0.3291092470106713,-0.6666666666666666,0.995775913677338,6.0,6,0.1373512863335084,-0.10855902199999998
60.0,55.0,5.0,0.3491036886372505,,0.3491036886372505,6.0,6,0.1373512863335084,-0.10855902199999998
60.0,56.0,5.0,0.3365958349280389,,0.3365958349280389,6.0,7,0.07795134905039616,-0.107773144
60.0,57.0,5.0,0.3133435583692585,,0.3133435583692585,4.0,7,0.07795134905039616,-0.107773144
60.0,58.0,5.0,0.3098382641983046,,0.3098382641983046,3.0,7,0.07795134905039616,-0.107773144
60.0,59.0,5.0,0.3393941297295597,,0.3393941297295597,1.0,7,0.07795134905039616,-0.107773144
60.0,66.0,5.0,0.3154847997027459,,0.3154847997027459,1.0,8,0.016537587237126408,-0.10423838599999999
60.0,67.0,5.0,0.3269265732817046,,0.3269265732817046,1.0,8,0.016537587237126408,-0.10423838599999999
60.0,68.0,5.0,0.33042902961735177,,0.33042902961735177,1.0,8,0.016537587237126408,-0.10423838599999999
60.0,31.0,6.0,0.012954150608460058,1.0,-0.98704584939154,1.0,9,0.07930922903206336,-0.01234298
60.0,32.0,6.0,0.00659512925299266,1.0,-0.9934048707470072,1.0,9,0.07930922903206336,-0.01234298
60.0,33.0,6.0,0.0025003220943071724,1.0,-0.9974996779056928,1.0,9,0.07930922903206336,-0.01234298
60.0,34.0,6.0,-0.00520686022090866,1.0,-1.0052068602209083,1.0,9,0.07930922903206336,-0.01234298
60.0,35.0,6.0,0.0037557804340335728,1.0,-0.9962442195659664,2.0,9,0.07930922903206336,-0.01234298
60.0,36.0,6.0,0.014157392778541444,1.0,-0.9858426072214586,2.0,10,0.13463080123867294,-0.0123425289
60.0,37.0,6.0,0.002611376049313164,1.0,-0.9973886239506868,1.0,10,0.13463080123867294,-0.0123425289
60.0,38.0,6.0,-0.00015021608223986238,1.0,-1.0001502160822398,1.0,10,0.13463080123867294,-0.0123425289
60.0,39.0,6.0,0.01830649718609689,1.0,-0.9816935028139032,2.0,10,0.13463080123867294,-0.0123425289
60.0,40.0,6.0,-0.0010168909849352923,1.0,-1.0010168909849353,4.0,10,0.13463080123867294,-0.0123425289
60.0,37.0,7.0,-0.5785166597013576,0.0,-0.5785166597013576,1.0,11,0.07713838877959026,-0.11609859
60.0,38.0,7.0,-0.5915336210646085,0.0,-0.5915336210646085,1.0,11,0.07713838877959026,-0.11609859
60.0,39.0,7.0,-0.588519650779771,0.0,-0.588519650779771,2.0,11,0.07713838877959026,-0.11609859
60.0,40.0,7.0,-0.5772468229960769,0.0,-0.5772468229960769,4.0,11,0.07713838877959026,-0.11609859
60.0,41.0,7.0,-0.5756460946940237,0.0,-0.5756460946940237,6.0,12,0.14061435377425097,-0.11609859
60.0,42.0,7.0,-0.5666785351245498,,-0.5666785351245498,5.0,12,0.14061435377425097,-0.11609859
60.0,43.0,7.0,-0.5855558155853537,,-0.5855558155853537,2.0,12,0.14061435377425097,-0.11609859
60.0,44.0,7.0,-0.5736331235164034,,-0.5736331235164034,1.0,12,0.14061435377425097,-0.11609859
60.0,45.0,7.0,-0.5885631642544752,,-0.5885631642544752,3.0,12,0.14061435377425097,-0.11609859
60.0,69.0,7.0,-0.6788819080242443,,-0.6788819080242443,2.0,13,0.057860338750324834,-0.0748211754
60.0,70.0,7.0,-0.656895495201315,,-0.656895495201315,4.0,13,0.057860338750324834,-0.0748211754
60.0,71.0,7.0,-0.6498389339274372,,-0.6498389339274372,4.0,13,0.057860338750324834,-0.0748211754
60.0,72.0,7.0,-0.6376723772111229,,-0.6376723772111229,2.0,13,0.057860338750324834,-0.0748211754
60.0,41.0,8.0,-0.6828490125941238,,-0.6828490125941238,6.0,14,0.1604604527720211,-0.03942026
60.0,42.0,8.0,-0.6609050727062867,,-0.6609050727062867,6.0,14,0.1604604527720211,-0.03942026
60.0,43.0,8.0,-0.667629039682208,,-0.667629039682208,3.0,14,0.1604604527720211,-0.03942026
60.0,44.0,8.0,-0.6828982017394416,,-0.6828982017394416,1.0,14,0.1604604527720211,-0.03942026
60.0,45.0,8.0,-0.6643122723701357,,-0.6643122723701357,2.0,14,0.1604604527720211,-0.03942026
60.0,66.0,8.0,-0.6658181223784314,,-0.6658181223784314,2.0,15,0.13373439725218242,-0.0366354916
60.0,67.0,8.0,-0.6762447076736391,,-0.6762447076736391,2.0,15,0.13373439725218242,-0.0366354916
60.0,68.0,8.0,-0.6858691315221259,,-0.6858691315221259,2.0,15,0.13373439725218242,-0.0366354916
60.0,69.0,8.0,-0.6756050595954874,,-0.6756050595954874,3.0,15,0.13373439725218242,-0.0366354916
60.0,70.0,8.0,-0.6716836441740471,,-0.6716836441740471,5.0,15,0.13373439725218242,-0.0366354916
60.0,71.0,8.0,-0.6697845647867395,,-0.6697845647867395,5.0,16,0.08790531691313899,-0.019500163800000005
